EXT,Anx
-4,3
-7,3
13,2
13,2
-7,3
6,2
-5,3
2,2
3,2
-16,4
6,2
-2,3
-12,3
4,2
-3,3
-8,3
-4,3
0,3
-3,3
-9,3
-7,3
6,2
12,2
20,1
4,2
-4,3
15,2
-1,3
0,3
-13,3
17,2
0,3
2,2
-8,3
-12,3
-14,3
-11,3
-5,3
-4,0
-9,3
0,3
-8,3
12,2
-4,3
2,2
-12,3
-2,3
-7,3
-10,3
-13,3
-6,3
1,2
-2,3
-1,3
-11,3
15,2
-2,3
-1,3
-20,4
7,2
7,2
-10,3
0,3
-6,3
11,2
10,2
1,2
2,2
-14,3
-5,3
12,2
9,2
-3,3
-18,4
9,2
-3,3
-8,3
-4,3
-7,3
0,3
10,2
-11,3
16,2
19,2
11,2
-12,3
-15,4
8,2
-11,3
11,2
-12,2
-6,3
-20,4
14,2
-8,3
17,2
-11,3
7,2
3,2
2,2
-3,3
-3,3
11,2
-4,3
-7,3
-6,3
-4,3
-9,2
-4,3
-8,3
-7,3
-2,3
17,2
5,2
7,2
-8,3
-8,3
8,2
2,2
12,2
-2,3
8,2
-3,3
-7,3
-3,3
6,2
13,2
3,2
-2,3
-8,3
-4,3
-2,3
4,2
-16,4
-11,3
-1,3
7,2
-4,3
-2,3
4,2
8,2
-7,3
-14,3
0,3
6,2
5,2
-1,3
-11,3
13,1
-12,3
3,2
-11,3
9,2
0,3
4,2
10,2
0,3
-12,3
1,2
-2,3
1,2
3,2
1,2
9,2
13,2
5,2
-5,3
0,3
0,3
15,2
2,2
-6,3
16,2
3,2
-5,3
2,2
-14,3
-14,3
-9,3
-1,3
7,2
0,3
-5,3
-11,3
4,2
13,2
1,2
4,2
-10,0
-13,3
-2,3
3,2
6,2
3,2
6,2
1,2
9,2
9,0
-14,3
0,3
-8,3
14,2
14,2
-20,3
16,2
5,2
13,2
-1,3
-11,3
-3,3
1,2
4,2
2,2
16,2
-4,3
9,2
9,2
7,2
0,3
2,2
-11,3
-3,3
-7,3
-16,4
-1,3
-1,3
-6,3
-7,3
-17,4
-5,3
12,1
-16,4
-1,3
-9,3
-10,3
-6,0
12,2
5,2
-1,3
-13,3
16,2
7,2
-2,3
-9,3
4,2
0,3
3,2
-19,3
15,2
-7,3
3,2
13,2
-1,3
-7,3
-15,3
-10,3
1,2
-9,3
-2,3
-2,3
8,2
-7,3
18,2
-10,3
-8,3
-11,3
6,2
-9,3
-5,3
-16,4
-3,3
16,1
5,2
-16,4
-11,3
-20,2
-1,3
0,3
2,2
14,2
-10,3
3,2
17,2
-8,3
9,2
-1,3
19,2
2,2
3,2
2,2
-10,3
-6,3
5,2
-19,4
-7,3
-3,3
-4,3
3,2
4,2
-16,4
7,2
8,2
-10,3
-9,3
-1,3
-1,3
10,2
-3,3
-2,3
-17,3
0,3
-16,4
-1,3
-2,3
20,2
-5,3
8,2
1,2
0,3
-1,3
11,2
1,2
5,2
-3,3
-10,0
11,2
-2,3
-10,0
0,3
-2,2
4,2
-13,3
8,2
-4,3
6,2
-12,3
6,2
5,2
2,2
9,2
-4,3
-14,3
-5,3
-13,3
4,2
12,2
-6,3
-12,3
12,2
-13,3
6,2
8,2
1,2
-11,3
10,2
8,2
9,2
-2,3
14,2
2,2
-1,3
-7,3
4,2
-4,3
-3,3
12,2
4,2
-9,3
5,2
7,2
13,2
6,2
0,3
-14,0
2,2
-9,3
3,2
9,2
-1,2
-7,3
-15,3
-7,3
-6,3
6,2
12,2
-13,3
-4,3
-17,4
5,2
-20,4
-5,3
-3,3
5,2
7,2
-3,3
-3,0
4,2
1,2
11,2
-6,3
-10,3
9,2
14,2
13,2
-4,3
1,2
19,1
2,2
2,2
19,2
0,3
-2,3
9,2
1,2
3,2
-1,3
-8,3
-6,3
8,2
-13,3
15,2
-18,4
-10,3
8,2
13,2
17,2
-15,4
6,2
-1,3
4,2
-9,3
4,2
0,3
-8,3
19,2
17,2
0,3
-5,3
-1,3
-4,3
14,2
-16,4
-12,3
6,2
-15,3
17,1
-11,3
7,2
-10,3
-19,0
-1,3
6,2
3,2
-7,3
7,2
-7,2
-13,3
11,2
-11,3
-18,2
-15,3
-1,3
-8,3
9,2
1,2
7,2
-14,3
-11,3
-9,3
12,2
-13,3
-5,3
-7,3
8,2
19,2
18,1
-17,4
-6,3
0,3
-1,3
-17,4
-10,3
13,2
-11,3
-7,3
14,2
0,2
7,2
-9,3
-1,3
9,2
-15,4
2,2
7,2
-1,3
-10,3
10,2
-5,3
11,2
-9,3
3,2
17,2
9,2
-6,3
-14,3
3,2
-5,3
16,2
8,2
-10,3
7,2
2,2
9,2
-1,3
4,2
12,2
-19,0
-3,3
1,2
3,2
-2,3
4,2
-2,2
-4,3
8,2
-8,3
-9,3
9,2
-4,3
18,2
11,1
0,3
-9,3
-2,3
4,2
-9,3
0,3
6,2
1,2
14,2
-9,3
2,2
1,2
18,2
0,3
-3,3
-17,4
-5,3
-16,4
-18,4
-8,3
-5,3
7,2
-5,3
-6,3
7,2
3,2
5,2
-11,3
12,2
13,2
1,2
7,2
1,2
6,2
-13,3
-4,3
5,2
1,2
-6,3
-19,3
10,2
-6,3
-1,3
-8,3
-9,3
